ID, frequency
From 1996 to 2001
119-Improper Restriction of Operations within the Bounds of a Memory Buffer,15
20-Improper Input Validation,11
264-Permissions,10
16-Configuration,8
94-Improper Control of Generation of Code ('Code Injection'),7
200-Information Exposure,7
310-Cryptographic Issues,5
59-Improper Link Resolution Before File Access ('Link Following'),4
255-Credentials Management,4
287-Improper Authentication,4
Least 10
94-Improper Control of Generation of Code ('Code Injection'),7
200-Information Exposure,7
310-Cryptographic Issues,5
59-Improper Link Resolution Before File Access ('Link Following'),4
255-Credentials Management,4
287-Improper Authentication,4
22-Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),3
362-Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),2
79-Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),1
399-Resource Management Errors,1
From 2002 to 2006
119-Improper Restriction of Operations within the Bounds of a Memory Buffer,334
94-Improper Control of Generation of Code ('Code Injection'),232
79-Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),220
89-Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),169
264-Permissions,151
20-Improper Input Validation,140
399-Resource Management Errors,121
200-Information Exposure,90
22-Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),74
189-Numeric Errors,57
Least 10
189-Numeric Errors,57
287-Improper Authentication,35
255-Credentials Management,28
16-Configuration,28
134-Uncontrolled Format String,25
310-Cryptographic Issues,23
59-Improper Link Resolution Before File Access ('Link Following'),13
362-Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),13
78-Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),5
352-Cross-Site Request Forgery (CSRF),5
From 2007 to 2011
89-Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),3091
79-Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),3000
119-Improper Restriction of Operations within the Bounds of a Memory Buffer,2757
264-Permissions,1735
20-Improper Input Validation,1573
94-Improper Control of Generation of Code ('Code Injection'),1300
399-Resource Management Errors,1266
22-Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),1208
200-Information Exposure,883
189-Numeric Errors,691
Least 10
310-Cryptographic Issues,300
59-Improper Link Resolution Before File Access ('Link Following'),286
255-Credentials Management,229
16-Configuration,172
362-Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),116
134-Uncontrolled Format String,107
78-Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),53
19-Data Handling,2
254-Security Features,1
17-Code,1
From 2012 to 2016
119-Improper Restriction of Operations within the Bounds of a Memory Buffer,3487
79-Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),3156
264-Permissions,2581
20-Improper Input Validation,1941
310-Cryptographic Issues,1905
200-Information Exposure,1501
399-Resource Management Errors,1260
89-Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),872
352-Cross-Site Request Forgery (CSRF),758
22-Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),563
Least 10
19-Data Handling,94
16-Configuration,69
77-Improper Neutralization of Special Elements used in a Command ('Command Injection'),56
134-Uncontrolled Format String,30
345-Insufficient Verification of Data Authenticity,20
74-Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),19
18-Source Code,5
199-Information Management Errors,2
21-Pathname Traversal and Equivalence Errors,2
361-Time and State,1
