ID, frequency
From 1988 to 1995
matt_wright:formmail,1
university_of_minnesota:gopherd,1
sco:unix,1
sco:openserver_network_system,1
sco:open_desktop_lite,1
satan:satan,1
rpc.walld:rpc.walld,1
redhat:linux,1
next:next,1
next:nex,1
Least 10
hp:apollo_domain_os,1
ftpcd:ftpcd,1
digital:vms,1
dec:dec_openvms_axp,1
dec:dec_openvms,1
convex:spp-ux,1
convex:convexos,1
commodore:amiga_unix,1
bsd:bsd,1
att:svr4,1
From 1996 to 2002
nombas:scriptease_webserver,1
nighthawk:powerux,1
nlog:nlog,1
nmh:nmh,1
noah_gray:graymatter,1
nobreak_technologies:crazywwwboard,1
noguska:nola,1
nokia:firewall_appliance,1
nokia:ip440_firewall_vpn_appliance,1
nighthawk:cx_ux,1
Least 10
gnu:fingerd,1
gnu:data_display_debugger,1
gnu:chess,1
gnu:bash,1
gnqs:gnqs,1
gnome:libgtop_daemon,1
gnome:gnorpm,1
gnome:gnome_libs,1
gnome:esound,1
gnome:bonobo,1
From 2003 to 2009
panda:panda_webadmin,1
panda:panda_exchangesecure,1
panda:panda_filesecure,1
panda:panda_filesecure_with_truprevent_technologies,1
panda:panda_gatedefender,1
panda:panda_internet_security,1
panda:panda_isa_secure,1
panda:panda_panda_enterprisecure_antivirus,1
panda:panda_platinum_2006_internet_security,1
panda:panda_platinum_2007_internet_security,1
Least 10
geobb:geobb,1
geobb:georgian_bulletin_board,1
geoblog:geoblog,1
geodesicsolutions:geoauctions_enterprise,1
geodesicsolutions:geoauctions_premier,1
geodesicsolutions:geoclassifieds_basic,1
geodesicsolutions:geoclassifieds_enterprise,1
geody:dagger,1
geoffrey_golliher:axiom_photo_news_gallery,1
geoip:geoip,1
From 2010 to 2016
nick_copeland:bristol,1
ni:labview,1
ni:labwindows,1
ni:lookout,1
ni:measurementstudio,1
ni:teststand,1
nibbleblog:nibbleblog,1
nice:recording_express,1
nicecoder:idesk,1
nicholas_berry:candid,1
Least 10
grandstream:gxv3601hd%2fll,1
grandstream:gxv3611_hd_firmware,1
grandstream:gxv3611hd%2fll,1
grandstream:gxv3615w%2fp,1
grandstream:gxv3615wp_hd,1
grandstream:gxv3651fhd,1
grandstream:gxv3662hd,1
grandstream:gxv_device_firmware,1
granita:cloud_browser,1
graniteds:granite_data_services,1
