ID, frequency
From 1988 to 1995
sun:sunos:4.1.1,15
sun:sunos:4.1,12
sun:sunos:4.1.2,8
sun:sunos:4.0.3,8
ibm:aix:3.2,7
sco:open_desktop:2.0,6
sgi:irix:5.2,6
sun:sunos:4.1.3,6
hp:hp-ux:9,6
sco:open_desktop:3.0,5
Least 10
freebsd:freebsd:3.3,1
freebsd:freebsd:3.4,1
ftp:ftp,1
ftpcd:ftpcd,1
great_circle_associates:majordomo:1.90,1
great_circle_associates:majordomo:1.91,1
hp:apollo_domain_os:sr10.2,1
hp:apollo_domain_os:sr10.3,1
hp:apollo_domain_os:sr10.3:beta,1
hp:hp-ux:8.00,1
From 1996 to 2002
microsoft:windows_nt:4.0,101
sun:solaris:2.5.1,96
sun:solaris:2.6,94
microsoft:windows_2000,90
sun:solaris:7.0,88
hp:hp-ux:11.00,77
microsoft:internet_information_server:4.0,77
hp:hp-ux:10.20,75
sun:solaris:2.5,75
microsoft:ie:5.5,74
Least 10
inet:inet:5.01,1
independent_solution:super_site_searcher,1
independent_solution:simple_site_searcher,1
incredimail:incredimail:build_618,1
incredimail:incredimail:build_560,1
incredimail:incredimail:build_1400185,1
incredimail:incredimail:1400185,1
incognito_software_inc:ismtp_gateway:5.0.1,1
imp:webmail:2.2.6,1
imp:imp:2.2_pre12,1
From 2003 to 2009
linux:linux_kernel:2.6.0,264
linux:linux_kernel:2.6.1,244
linux:linux_kernel:2.6.2,231
linux:linux_kernel:2.6.10,231
linux:linux_kernel:2.6.11,222
linux:linux_kernel:2.6.11.6,213
linux:linux_kernel:2.6.11.5,212
linux:linux_kernel:2.6.11.7,210
linux:linux_kernel:2.6.11.8,209
linux:linux_kernel:2.6.3,203
Least 10
ingate:ingate_firewall:2.5.0,1
ingate:ingate_firewall:2.6.0,1
ingate:ingate_firewall:2.6.1,1
ingate:ingate_firewall:3.0.2,1
ingate:ingate_firewall:3.1.0,1
ingate:ingate_firewall:3.1.1,1
ingate:ingate_firewall:3.1.3,1
ingate:ingate_firewall:3.1.4,1
ingate:ingate_firewall:3.2,1
ingate:ingate_firewall:3.2.0,1
From 2010 to 2016
google:chrome:3.0.182.2,495
google:chrome:2.0.172.38,495
google:chrome:2.0.172.37,495
google:chrome:2.0.172.33,495
google:chrome:2.0.172.8,495
google:chrome:2.0.172.30,495
google:chrome:2.0.172.28,495
google:chrome:2.0.172.27,495
google:chrome:2.0.172.2,495
google:chrome:2.0.170.0,495
Least 10
email%3a%3aaddress_module_project:email%3a%3aaddress:1.904::~~~perl~~,1
email%3a%3aaddress%3a%3alist_project:email%3a%3aaddress%3a%3alist:0.01,1
elxis:elxis_cms:2009.3,1
elxis:elxis_cms:2009.2,1
elsio:mapa_da_mina:0.1::~~~android~~,1
elokence:akinator_the_genie_free:2.46::~~~android~~,1
ellislab:expressionengine:2.9.0,1
ellislab:expressionengine:2.8.1,1
ellislab:expressionengine:2.8.0,1
ellislab:expressionengine:2.7.3,1
