id,description,children,parents
1,"Location",2|16|17|,
2,"Environment",3|5|6|7|8|9|11|12|13|14|15|435|552|650|,1|933|
3,"Technology-specific Environment Issues",4|519|,2|
4,"J2EE Environment Issues",5|6|7|8|9|555|,3|731|
5,"J2EE Misconfiguration: Data Transmission Without Encryption",,2|4|319|963|
6,"J2EE Misconfiguration: Insufficient Session-ID Length",,2|4|334|965|
7,"J2EE Misconfiguration: Missing Custom Error Page",,2|4|728|756|963|
8,"J2EE Misconfiguration: Entity Bean Declared Remote",,2|4|668|963|
9,"J2EE Misconfiguration: Weak Access Permissions for EJB Methods",,2|4|266|723|901|
10,"ASP.NET Environment Issues",11|12|13|554|556|,519|731|
11,"ASP.NET Misconfiguration: Creating Debug Binary",,2|10|215|963|
12,"ASP.NET Misconfiguration: Missing Custom Error Page",,2|10|756|963|
13,"ASP.NET Misconfiguration: Password in Configuration File",,2|10|260|963|
14,"Compiler Removal of Code to Clear Buffers",,2|503|633|729|733|747|883|963|
15,"External Control of System or Configuration Setting",,2|20|610|642|994|
16,"Configuration",,1|933|
17,"Code",18|18|503|657|,1|
18,"Source Code",19|19|227|254|361|388|398|417|429|438|442|445|452|465|485|,17|17|
19,"Data Handling",20|116|118|133|136|137|185|189|189|199|228|461|471|,18|18|
20,"Improper Input Validation",15|21|73|77|79|89|99|100|102|103|104|105|106|107|108|109|110|111|112|113|114|117|119|120|129|134|170|190|466|470|554|601|606|622|626|680|690|692|781|785|789|,19|693|722|738|742|746|747|751|872|876|883|994|
21,"Pathname Traversal and Equivalence Errors",22|41|59|66|,20|
22,"Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')",23|36|,21|632|668|706|715|723|743|802|813|865|877|932|981|
23,"Relative Path Traversal",24|25|26|27|28|29|30|31|32|33|34|35|,22|981|
24,"Path Traversal: '../filedir'",,23|981|
25,"Path Traversal: '/../filedir'",,23|981|
26,"Path Traversal: '/dir/../filename'",,23|981|
27,"Path Traversal: 'dir/../../filename'",,23|981|
28,"Path Traversal: '..\filedir'",,23|981|
29,"Path Traversal: '\..\filename'",,23|981|
30,"Path Traversal: '\dir\..\filename'",,23|981|
31,"Path Traversal: 'dir\..\..\filename'",,23|981|
32,"Path Traversal: '...' (Triple Dot)",,23|981|
33,"Path Traversal: '....' (Multiple Dot)",,23|981|
34,"Path Traversal: '....//'",,23|981|
35,"Path Traversal: '.../...//'",,23|981|
36,"Absolute Path Traversal",37|38|39|40|,22|981|
37,"Path Traversal: '/absolute/pathname/here'",,36|160|743|877|981|
38,"Path Traversal: '\absolute\pathname\here'",,36|743|877|981|
39,"Path Traversal: 'C:dirname'",,36|743|877|981|
40,"Path Traversal: '\\UNC\share\name\' (Windows UNC Share)",,36|981|
41,"Improper Resolution of Path Equivalence",42|44|46|47|48|49|50|51|52|53|54|55|56|57|58|,21|632|706|723|743|877|981|
42,"Path Equivalence: 'filename.' (Trailing Dot)",43|,41|162|981|
43,"Path Equivalence: 'filename....' (Multiple Trailing Dot)",,42|163|981|
