id, name, children, frequency
1,"Location","Environment | Configuration | Code | "42597
16,"Configuration",""277
17,"Code","Source Code | Byte/Object Code | Violation of Secure Design Principles | "42320
18,"Source Code","Data Handling | Improper Fulfillment of API Contract ('API Abuse') | Security Features | Time and State | Error Handling | Indicator of Poor Code Quality | Channel and Path Errors | Handler Errors | Behavioral Problems | Web Problems | User Interface Errors | Initialization and Cleanup Errors | Pointer Issues | Insufficient Encapsulation | "42163
19,"Data Handling","Improper Input Validation | Improper Encoding or Escaping of Output | Improper Access of Indexable Resource ('Range Error') | String Errors | Type Errors | Representation Errors | Incorrect Regular Expression | Numeric Errors | Information Management Errors | Improper Handling of Syntactically Invalid Structure | Data Structure Issues | Modification of Assumed-Immutable Data (MAID) | "29399
20,"Improper Input Validation","External Control of System or Configuration Setting | Pathname Traversal and Equivalence Errors | External Control of File Name or Path | Improper Neutralization of Special Elements used in a Command ('Command Injection') | Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') | Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection') | Improper Control of Resource Identifiers ('Resource Injection') | Technology-Specific Input Validation Problems | Struts: Duplicate Validation Forms | Struts: Incomplete validate() Method Definition | Struts: Form Bean Does Not Extend Validation Class | Struts: Form Field Without Validator | Struts: Plug-in Framework not in Use | Struts: Unused Validation Form | Struts: Unvalidated Action Form | Struts: Validator Turned Off | Struts: Validator Without Form Field | Direct Use of Unsafe JNI | Missing XML Validation | Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting') | Process Control | Improper Output Neutralization for Logs | Improper Restriction of Operations within the Bounds of a Memory Buffer | Buffer Copy without Checking Size of Input ('Classic Buffer Overflow') | Improper Validation of Array Index | Use of Externally-Controlled Format String | Improper Null Termination | Integer Overflow or Wraparound | Return of Pointer Value Outside of Expected Range | Use of Externally-Controlled Input to Select Classes or Code ('Unsafe Reflection') | ASP.NET Misconfiguration: Not Using Input Validation Framework | URL Redirection to Untrusted Site ('Open Redirect') | Unchecked Input for Loop Condition | Improper Validation of Function Hook Arguments | Null Byte Interaction Error (Poison Null Byte) | Integer Overflow to Buffer Overflow | Unchecked Return Value to NULL Pointer Dereference | Incomplete Blacklist to Cross-Site Scripting | Improper Address Validation in IOCTL with METHOD_NEITHER I/O Control Code | Use of Path Manipulation Function without Maximum-sized Buffer | Uncontrolled Memory Allocation | "25532
21,"Pathname Traversal and Equivalence Errors","Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal') | Improper Resolution of Path Equivalence | Improper Link Resolution Before File Access ('Link Following') | Improper Handling of File Names that Identify Virtual Resources | "2271
22,"Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')","Relative Path Traversal | Absolute Path Traversal | "1848
59,"Improper Link Resolution Before File Access ('Link Following')","UNIX Path Link Problems | UNIX Symbolic Link (Symlink) Following | UNIX Hard Link | Windows Path Link Problems | Windows Shortcut Following (.LNK) | Windows Hard Link | "421
74,"Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection')","Failure to Sanitize Special Elements into a Different Plane (Special Element Injection) | Improper Neutralization of Special Elements used in a Command ('Command Injection') | Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') | XML Injection (aka Blind XPath Injection) | Improper Neutralization of CRLF Sequences ('CRLF Injection') | Improper Control of Generation of Code ('Code Injection') | Improper Control of Resource Identifiers ('Resource Injection') | Use of Externally-Controlled Format String | Improper Neutralization of Special Elements | Improper Neutralization of Special Elements in Data Query Logic | "13003
77,"Improper Neutralization of Special Elements used in a Command ('Command Injection')","Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection') | Argument Injection or Modification | Executable Regular Expression Error | Improper Neutralization of Special Elements used in an Expression Language Statement ('Expression Language Injection') | "250
78,"Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')",""194
79,"Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')","Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS) | Improper Neutralization of Script in an Error Message Web Page | Improper Neutralization of Script in Attributes in a Web Page | Improper Neutralization of Encoded URI Schemes in a Web Page | Doubled Character XSS Manipulations | Improper Neutralization of Invalid Characters in Identifiers in Web Pages | Improper Neutralization of Alternate XSS Syntax | "6377
89,"Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')","SQL Injection: Hibernate | "4132
94,"Improper Control of Generation of Code ('Code Injection')","Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection') | Improper Neutralization of Directives in Statically Saved Code ('Static Code Injection') | "2063
118,"Improper Access of Indexable Resource ('Range Error')","Improper Restriction of Operations within the Bounds of a Memory Buffer | "6593
119,"Improper Restriction of Operations within the Bounds of a Memory Buffer","Buffer Copy without Checking Size of Input ('Classic Buffer Overflow') | Write-what-where Condition | Out-of-bounds Read | Improper Handling of Length Parameter Inconsistency  | Return of Pointer Value Outside of Expected Range | Access of Memory Location Before Start of Buffer | Out-of-bounds Write | Access of Memory Location After End of Buffer | Buffer Access with Incorrect Length Value | Untrusted Pointer Dereference | Use of Out-of-range Pointer Offset | Access of Uninitialized Pointer | Expired Pointer Dereference | "6593
133,"String Errors","Use of Externally-Controlled Format String | Incorrect Calculation of Multi-Byte String Length | Often Misused: String Management | Use of Wrong Operator in String Comparison | "162
134,"Use of Externally-Controlled Format String",""162
137,"Representation Errors","Improper Neutralization of Special Elements | Cleansing, Canonicalization, and Comparison Errors | Reliance on Data/Memory Layout | Improper Handling of Syntactically Invalid Structure | "13003
171,"Cleansing, Canonicalization, and Comparison Errors","Encoding Error | Improper Handling of Case Sensitivity | Incorrect Behavior Order: Early Validation | Incorrect Behavior Order: Validate Before Canonicalize | Incorrect Behavior Order: Validate Before Filter | Collapse of Data into Unsafe Value | Permissive Whitelist | Incomplete Blacklist | Incorrect Regular Expression | Partial Comparison | Missing Default Case in Switch Statement | Comparison of Classes by Name | Comparison of Object References Instead of Object Contents | Incorrect Semantic Object Comparison | Insufficient Comparison | Improper Enforcement of Message or Data Structure | Incorrect Short Circuit Evaluation | "13003
